Title,Price,URL,Image
"Gift Set Giorgio Armani Acqua Di Gio 3 pcs ( EDT 100ml & EDT 15ml & Sữa tắm 75ml )","2,980,000₫","/products/gift-set-nuoc-hoa-nam-giorgio-armani-acqua-di-gio-3-pcs","https://product.hstatic.net/1000340570/product/rgio-armani-acqua-di-gio-3-pcs-_-edt-100ml-_-edt-15ml-_-sua-tam-75ml-__267f0ac76e934ec1aeb5cc56a0959c37_grande.jpg"
"Giorgio Armani Acqua di Gio Eau de Parfum","3,080,000₫","/products/giorgio-armani-acqua-di-gio-eau-de-parfum","https://product.hstatic.net/1000340570/product/acqua-di-gio-edp_ca93ce28e17a40029536e53c5a3875bb_grande.jpg"
"Giorgio Armani Acqua di Gio Parfum","3,200,000₫","/products/giorgio-armani-acqua-di-gio-parfum","https://product.hstatic.net/1000340570/product/giorgio-armani-acqua-di-gio-parfum-1_0aa590e682624330a68401ffca71fc81_grande.jpg"
"Giorgio Armani Acqua Di Gio Pour Homme","2,800,000₫","/products/nuoc-hoa-nam-giorgio-armani-acqua-di-gio-pour-homme","https://product.hstatic.net/1000340570/product/giorgio-armani-acqua-di-gio-pour-homme_eb18bb668fd64e6ab200a9d1d3c45cbf_grande.jpg"
"Giorgio Armani Acqua di Gio Profondo","3,600,000₫","/products/giorgio-armani-acqua-di-gio-profondo","https://product.hstatic.net/1000340570/product/giorgio-armani-acqua-di-gio-profondo_186bdeb14e174571b2aa6470e0b91b08_grande.jpg"
"Giorgio Armani Acqua di Gio Profondo Parfum","3,990,000₫","/products/giorgio-armani-acqua-di-gio-profondo-parfum","https://cdn.hstatic.net/products/1000340570/giorgio-armani-acqua-di-gio-profondo-parfum_5e19a06b2d424cd3897cbb91efd35f3e_grande.jpg"
"Giorgio Armani Acqua di Gioia","2,880,000₫","/products/nuoc-hoa-nu-giorgio-armani-acqua-di-gioia","https://product.hstatic.net/1000340570/product/giorgio-armani-acqua-di-gioia-100ml-edp_35a4721d8ee34c36a3988822f9f8ba0b_grande.jpg"
"Giorgio Armani Acqua di Gioia Intense","3,350,000₫","/products/giorgio-armani-acqua-di-gioia-intense","https://product.hstatic.net/1000340570/product/giorgio-armani-acqua-di-gioia-intense_3bd0ce1c7a6e4ab09050dc491ee677e5_grande.jpg"
"Gift Set Giorgio Armani Acqua Di Gio 3 pcs ( EDT 100ml & EDT 15ml & Sữa tắm 75ml )","2,980,000₫","/products/gift-set-nuoc-hoa-nam-giorgio-armani-acqua-di-gio-3-pcs","https://product.hstatic.net/1000340570/product/rgio-armani-acqua-di-gio-3-pcs-_-edt-100ml-_-edt-15ml-_-sua-tam-75ml-__267f0ac76e934ec1aeb5cc56a0959c37_grande.jpg"
"Giorgio Armani Acqua di Gio Eau de Parfum","3,080,000₫","/products/giorgio-armani-acqua-di-gio-eau-de-parfum","https://product.hstatic.net/1000340570/product/acqua-di-gio-edp_ca93ce28e17a40029536e53c5a3875bb_grande.jpg"
"Giorgio Armani Acqua di Gio Parfum","3,200,000₫","/products/giorgio-armani-acqua-di-gio-parfum","https://product.hstatic.net/1000340570/product/giorgio-armani-acqua-di-gio-parfum-1_0aa590e682624330a68401ffca71fc81_grande.jpg"
"Giorgio Armani Acqua Di Gio Pour Homme","2,800,000₫","/products/nuoc-hoa-nam-giorgio-armani-acqua-di-gio-pour-homme","https://product.hstatic.net/1000340570/product/giorgio-armani-acqua-di-gio-pour-homme_eb18bb668fd64e6ab200a9d1d3c45cbf_grande.jpg"
"Giorgio Armani Acqua di Gio Profondo","3,600,000₫","/products/giorgio-armani-acqua-di-gio-profondo","https://product.hstatic.net/1000340570/product/giorgio-armani-acqua-di-gio-profondo_186bdeb14e174571b2aa6470e0b91b08_grande.jpg"
